strain	date	url	mutational_fitness	region	division	recency	country	clade_membership	pango_lineage	emerging_lineage	Nextclade_pango	current_frequency	epiweek	S1_mutations	genbank_accession	host	submitting_lab	author	accession	originating_lab	ace2_binding	immune_escape	logistic_growth
USA/AK-CDC-UW22121616663/2022	2022-12-16		3.07	North America	Alaska	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202250	29.00	OQ338861	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		UW Virology Lab	0.67	0.601	
USA/TX-CDC-QDX41328223/2022	2022-09-11		3.07	North America	Texas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP523048	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/DC-CDC-2-6821960/2022	2022-11-27		3.06	North America	Washington DC	One month ago	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202248	29.00	OQ421328	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		DC Public Health Lab/ Dept. of Forensic Sciences	0.67	0.601	
USA/OKPHL0023403/2022	2022-11-06		3.05	North America	Oklahoma	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202245	29.00	OP920541	Homo sapiens	Oklahoma Department of Health, Public Health Lab- Molecular	Wang et al			-0.102	0.348	
USA/PA-CDC-QDX41683986/2022	2022-09-20		3.12	North America	Pennsylvania	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	30.00	OP619288	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/WV-CDC-QDX43584006/2022	2022-11-09		3.10	North America	West Virginia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202245	29.00	OP916289	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/ME-CDC-QDX42395051/2022	2022-10-10		3.06	North America	Maine	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202241	29.00	OP721832	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/IN-CDC-STM-KNTSYN7B6/2022	2022-12-15		3.02	North America	Indiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202250	29.00	OQ139309	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/MA-CDCBI-CRSP_TV4TZKAMCH5G3EIS/2022	2022-11-30		3.03	North America	Massachusetts	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202248	29.00	OQ032212	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform	0.67	0.601	
USA/HI-CDC-LC0941445/2022	2022-11-27		3.03	North America	Hawaii	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202248	29.00	OP955565	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/MA-CDCBI-CRSP_KIM2EASLHLDPWYNO/2022	2022-11-13		3.08	North America	Massachusetts	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202246	30.00	OP885485	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform	0.662	0.607	
USA/NJ-CDC-QDX42256508/2022	2022-10-08		3.09	North America	New Jersey	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202240	29.00	OP679739	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/AR-CDC-STM-TG9C9BRJ4/2022	2022-11-06		3.09	North America	Arkansas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202245	29.00	OP865453	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/MD-CDC-QDX41800066/2022	2022-09-22		3.16	North America	Maryland	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP608946	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/SC-CDC-QDX41591057/2022	2022-09-18		3.16	North America	South Carolina	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP579663	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/SC-CDC-QDX41281666/2022	2022-09-11		3.09	North America	South Carolina	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	30.00	OP514241	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/RI-CDC-LC0893835/2022	2022-09-21		3.09	North America	Rhode Island	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	30.00	OP657504	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/WI-UW-13682/2022	2022-10-10		3.08	North America	Wisconsin	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202241	30.00	OQ171268	Homo sapiens	UW Madison, School of Medicine and Public Health	O'Connor et al			0.67	0.601	
USA/TX-CDC-STM-EG5WXVUTV/2022	2022-09-24		3.09	North America	Texas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP607901	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/MA-CDCBI-CRSP_X4MK4P4WXQKZRNRV/2022	2022-10-31		3.09	North America	Massachusetts	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	29.00	OP886110	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform	0.67	0.601	
USA/FL-CDC-STM-6UDNQG4SV/2022	2022-09-30		2.90	North America	Florida	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202239	27.00	OP731921	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.538	0.438	
USA/AL-CDC-STM-9JBFMUMFE/2022	2022-11-01		3.09	North America	Alabama	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	30.00	OP848825	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/AL-CDC-STM-XNEJ7G5EX/2022	2022-10-26		3.09	North America	Alabama	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202243	30.00	OP815550	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/NJ-CDC-QDX42346929/2022	2022-10-10		3.09	North America	New Jersey	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202241	29.00	OP709092	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/AL-CDC-LC0914808/2022	2022-10-13		3.09	North America	Alabama	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202241	29.00	OP715183	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/SD-CDC-LC0924808/2022	2022-10-31		3.09	North America	South Dakota	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	29.00	OP809441	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/WI-CDC-LC0970753/2022	2022-12-17		3.05	North America	Wisconsin	Older	USA	22A (Omicron)	BA.4.6.5	22A (Omicron)	BA.4.6.5		202250	29.00	OQ165945	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/2177896/2022	2022-09-19		3.07	North America	Iowa	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6.5		202238	29.00	OP602183	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.67	0.601	
USA/CT-CDC-LC0910527/2022	2022-10-07		3.06	North America	Connecticut	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6.5		202240	29.00	OP707316	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/WA-UW-22100880907/2022	2022-10-08		3.07	North America	Washington	Older	USA	22A (Omicron)	BA.4.6.5	22A (Omicron)	BA.4.6.5		202240	29.00	OP823763	Homo sapiens	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al			0.558	0.386	
USA/NJ-CDC-LC0915580/2022	2022-10-16		3.06	North America	New Jersey	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6.5		202242	29.00	OP715555	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/OH-CDC-QDX41497319/2022	2022-09-14		3.06	North America	Ohio	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6.5		202237	29.00	OP568194	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/ND-CDC-2-6559688/2022	2022-10-05		3.06	North America	North Dakota	Older	USA	22A (Omicron)	BA.4.6.5	22A (Omicron)	BA.4.6.5		202240	29.00	OP805243	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		ND Dept. of Health Laboratory Services-Microbiology	0.67	0.601	
USA/MI-MDHHS-SC43650/2022	2022-12-20		3.07	North America	Michigan	Older	USA	22A (Omicron)	BA.4.6.5	22A (Omicron)	BA.4.6.5		202251	29.00	OQ370472	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al		Michigan Department of Health and Human Services	0.67	0.601	
USA/NE-CDC-LC0989602/2023	2023-01-05		3.02	North America	Nebraska	Older	USA	22A (Omicron)	BA.4.6.5	22A (Omicron)	BA.4.6.5	0.00	202301	29.00	OQ294445	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/OH-CDC-QDX41497160/2022	2022-09-13		3.07	North America	Ohio	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP567992	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/1016069842_11-9-2022/2022	2022-11-01		3.07	North America	Arkansas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	29.00	OP821071	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences	0.67	0.601	
USA/MO-CDC-QDX41496774/2022	2022-09-15		3.07	North America	Missouri	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP568942	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/WV-CDC-LC0912574/2022	2022-10-03		3.07	North America	West Virginia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202240	29.00	OP706577	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/GA-CDC-QDX41998688/2022	2022-09-27		3.07	North America	Georgia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202239	30.00	OP621515	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/CT-CDCBI-CRSP_LBUBTS5U5UOIFSSE/2022	2022-10-27		3.06	North America	Connecticut	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202243	29.00	OP885646	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform	0.67	0.601	
USA/NJ-CDC-QDX43582977/2022	2022-11-08		3.07	North America	New Jersey	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202245	29.00	OP916217	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/DE-CDC-LC0885523/2022	2022-09-13		3.06	North America	Delaware	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP544434	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/IN-CDC-LC0884555/2022	2022-09-12		3.07	North America	Indiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP520238	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/GA-CDC-STM-JVH985QH7/2022	2022-11-03		3.06	North America	Georgia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	30.00	OP865004	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/MT-CDC-LC0913258/2022	2022-10-07		3.06	North America	Montana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202240	30.00	OP707283	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/IL-CDC-LC0920152/2022	2022-10-21		3.07	North America	Illinois	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202242	29.00	OP764284	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/WI-CDC-2-6776354/2022	2022-12-26		3.07	North America	Wisconsin	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202252	29.00	OQ362424	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		WI State Laboratory of Hygiene	0.67	0.601	
USA/WI-UW-13887/2022	2022-10-27		3.07	North America	Wisconsin	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202243	29.00	OQ172160	Homo sapiens	UW Madison, School of Medicine and Public Health	O'Connor et al			0.67	0.601	
USA/HI-CDC-LC0998234/2023	2023-01-20		3.12	North America	Hawaii	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6	0.00	202303	29.00	OQ364324	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	-7.73
USA/AL-CDC-STM-H2NH24X8Z/2022	2022-11-03		3.06	North America	Alabama	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	29.00	OP849191	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/KS-CDC-QDX43024205/2022	2022-10-27		3.07	North America	Kansas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202243	29.00	OP814523	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/MO-CDC-STM-UUZJ65KTP/2022	2022-09-15		3.06	North America	Missouri	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP553735	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/WV134824/2022	2022-09-14		3.06	North America	West Virginia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OQ395808	Homo sapiens	Marshall University School of Medicine, Biomedical Sciences	Denvir et al			0.67	0.601	
USA/SD-SDAIHG-1929/2022	2022-09-12		3.09	North America	South Dakota	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP738831	Homo sapiens	South Dakota INBRE/Avera Institute for Human Genetics, SD-INBRE-AIHG	Davis et al			0.67	0.601	
USA/VI-CDC-2-6543198/2022	2022-09-13		3.07	North America	Virgin Islands	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP724003	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		VI-US Virgin Islands Department of Health	0.67	0.601	
USA/VI-CDC-2-6543164/2022	2022-09-12		3.07	North America	Virgin Islands	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP723999	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		VI-US Virgin Islands Department of Health	0.67	0.601	
USA/IL-CDC-STM-FPWDNVUY8/2022	2022-09-21		3.07	North America	Illinois	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP590861	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/LA-BIE-LSUH003581/2022	2022-10-11		3.06	North America	Louisiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202241	31.00	OP718278	Homo sapiens	BioInfoExperts, LLC, Pathogen Genomics	Parke et al			0.67	0.601	
USA/LA-CDC-STM-TYFNMWEGV/2022	2022-09-30		3.06	North America	Louisiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202239	29.00	OP731910	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/DC-CDC-LC0929657/2022	2022-11-06		3.10	North America	Washington DC	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202245	29.00	OP855244	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/CT-CDC-2-6543386/2022	2022-09-27		3.07	North America	Connecticut	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202239	29.00	OP724084	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		CT-Dr. Katherine A. Kelley State Public Health Lab	0.67	0.601	
USA/KS-CDC-LC0881802/2022	2022-09-07		3.07	North America	Kansas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202236	29.00	OP519310	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
